Quelle,Quelle-Id,Quelle-URL,Status,Type-Id,TI-Betrieb-Ids,AnzeigeName,Team-Id
Polarion,ML-119346,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119346,done,gemProdT_Intermediaer_VSDM,PDT21,Intermediär VSDM,ML-123389
Polarion,ML-119320,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119320,open,gemProdT_Kon,PDT17,Konnektor,ML-123390
Polarion,ML-119323,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119323,done,gemProdT_Kon_PTV3,,"Konnektor PTV3 (eMP/AMTS, NFDM)",ML-123390
Polarion,ML-119324,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119324,open,gemProdT_Kon_PTV4,,Konnektor PTV4 (ePA),ML-123390
Polarion,ML-119325,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119325,done,gemProdT_Kon_PTV4Plus,,Konnektor PTV4 (ePA + Komfortsignatur),ML-123390
Polarion,ML-119326,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119326,done,gemProdT_Kon_PTV5,PDT17,Konnektor PTV5 (ePA 2.0 + Komfortsignatur),ML-123390
Polarion,ML-120828,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120828,done,gemProdT_Konn_Highspeed,PDT67,Highspeed Konnektor,ML-123390
Polarion,ML-119327,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119327,done,gemProdT_KSR,PDT11,Konfigurationsdienst,ML-123389
Polarion,ML-119328,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119328,done,gemProdT_KT,PDT18,eHealth-Kartenterminal,ML-123391
Polarion,ML-119350,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119350,done,gemProdT_KTR-AdV,PDT35,KTR-AdV,ML-123394
Polarion,ML-119366,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119366,done,gemProdT_KTR-Consumer,PDT46,KTR-Consumer,ML-123390
Polarion,ML-119329,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119329,done,gemProdT_MobKT,PDT19,Mobiles Kartenterminal,ML-123391
Polarion,ML-119330,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119330,done,gemProdT_NamD,PDT06,Namensdienst,ML-123389
Polarion,ML-125858,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-125858,open,gemProdT_NCPeH_FD,,Fachdienst National Contact Point for eHealth,ML-123398
Polarion,ML-119331,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119331,done,gemProdT_OCSP_Proxy,PDT01,OCSP-Proxy,ML-123389
Polarion,ML-119389,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119389,done,gemProdT_PKG,PDT60,Private Key Generator,ML-123392
Polarion,ML-119344,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119344,done,gemProdT_ServiceMon,PDT41,Servicemonitoring,ML-123389
Polarion,ML-119335,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119335,done,gemProdT_SG_BestNetze,PDT10,Sicherheitsgateway Bestandsnetze,ML-123389
Polarion,ML-119372,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119372,done,gemProdT_SGD_ePA,PDT48,Schlüsselgenerierungsdienst ePA,ML-123392
Polarion,ML-119368,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119368,done,gemProdT_SigD,PDT47,Signaturdienst,ML-123392
Polarion,ML-119307,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119307,done,gemProdT_SMC-B,PDT14,SMC-B (personalisiert),ML-123391
Polarion,ML-119316,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119316,done,gemProdT_SMC-B_G2_1,,SMC-B G2.1 (personalisiert),ML-123391
Polarion,ML-119315,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119315,done,gemProdT_SMC-B_ObjSys_G2_1,,Zulassungsobjekt SMC-B-Objektsystem G2.1,ML-123391
Polarion,ML-120819,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120819,verified-done,gemProdT_TIM_Client,PDT65,TI-Messenger Frontend,ML-123395
Polarion,ML-120818,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120818,verified-done,gemProdT_TIM_FD,PDT64,TI-Messenger Fachdienst,ML-123395
Polarion,ML-119333,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119333,done,gemProdT_TSL,PDT04,TSL-Dienst,ML-123389
Polarion,ML-119334,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119334,done,gemProdT_VPN_ZugD,PDT09,VPN-Zugangsdienst,ML-123389
Polarion,ML-119336,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119336,done,gemProdT_VZD,PDT25,Verzeichnisdienst,ML-123395
Polarion,ML-120820,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120820,verified-done,gemProdT_VZD_FHIR,PDT66,Verzeichnisdienst FHIR,ML-123395
Polarion,ML-119338,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119338,done,gemProdT_X509_TSP_nonQES_eGK,PDT03,Trust Service Provider X.509 (nonQES) – eGK,ML-123389
Polarion,ML-119339,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119339,done,gemProdT_X509_TSP_nonQES_HBA,PDT36,Trust Service Provider X.509 (nonQES) – HBA,ML-123389
Polarion,ML-119337,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119337,done,gemProdT_X509_TSP_nonQES_Komp,PDT37,Trust Service Provider X.509 (nonQES) – Komp,ML-123389
Polarion,ML-119340,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119340,done,gemProdT_X509_TSP_nonQES_SMC-B,PDT38,Trust Service Provider X.509 (nonQES) – SMC-B,ML-123389
Polarion,ML-119341,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119341,done,gemProdT_X509_TSP_QES,PDT02,Trust Service Provider X.509 QES,ML-123389
Polarion,ML-119342,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119342,done,gemProdT_ZeitD,PDT07,Zeitdienst,ML-123389
Polarion,ML-119343,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-119343,done,gemProdT_ZentrNetz,PDT08,Zentrales Netz der TI,ML-123389
Polarion,ML-120978,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120978,open,gemSST_ISiK_Basis,,Informationssysteme für Krankenhäuser (ISiK),ML-123395
Polarion,ML-122004,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-122004,done,gemSST_PS_ePA,,Primärsystem-Schnittstelle ePA,ML-123394
Polarion,ML-120949,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120949,done,gemSST_PS_eRp_abgebend,,Primärsystem-Schnittstelle E-Rezept: abgebendes System,ML-123396
Polarion,ML-120948,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120948,done,gemSST_PS_eRp_verordnend,,Primärsystem-Schnittstelle E-Rezept: verordnendes System,ML-123396
Polarion,ML-120950,https://polarion.int.gematik.de/polarion/#/project/Mainline_OPB1/workitem?id=ML-120950,done,gemSST_PS_KIM,,Primärsystem-Schnittstelle KIM/tiefenintegriertes CM,ML-123395
